execution,n_threads,time
1,1,26.8736
2,1,26.6029
3,1,26.7244
4,1,26.6112
5,1,26.7056
6,1,26.8975
7,1,27.2948
8,1,26.6626
9,1,26.6640
10,1,26.9582
11,1,27.1426
12,1,26.7418
13,1,26.6453
14,1,27.2825
15,1,26.7623
1,2,15.8860
2,2,16.4200
3,2,15.5630
4,2,15.7660
5,2,15.9540
6,2,15.2720
7,2,15.8330
8,2,16.2690
9,2,16.0450
10,2,16.2470
11,2,16.0980
12,2,15.6820
13,2,15.7550
14,2,15.9550
15,2,15.3090
1,4,9.3874
2,4,9.1973
3,4,9.4232
4,4,9.3593
5,4,9.6878
6,4,9.2239
7,4,9.7961
8,4,9.3486
9,4,9.6582
10,4,9.4024
11,4,9.5081
12,4,9.4922
13,4,9.4985
14,4,9.7237
15,4,9.7855
1,8,5.7980
2,8,6.2210
3,8,5.7510
4,8,5.9430
5,8,6.2110
6,8,6.5600
7,8,5.8290
8,8,6.4620
9,8,6.6000
10,8,6.8330
11,8,6.6210
12,8,6.2430
13,8,6.6570
14,8,6.0010
15,8,5.7880
1,16,5.0287
2,16,4.9108
3,16,4.8231
4,16,4.6754
5,16,4.5620
6,16,5.2503
7,16,4.4591
8,16,4.4450
9,16,4.3261
10,16,4.7814
11,16,4.6464
12,16,5.1860
13,16,4.5325
14,16,4.5885
15,16,4.5063
1,32,4.4460
2,32,3.6360
3,32,3.4120
4,32,4.6130
5,32,3.6450
6,32,3.6780
7,32,3.8790
8,32,4.7670
9,32,3.6710
10,32,3.9240
11,32,4.2190
12,32,3.6560
13,32,3.8940
14,32,4.7080
15,32,4.3880
